,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
40,China,CHN,360857912565.966,383373318083.624,426915712715.856,444731282435.515,564324670008.238,734547898224.101,863746717507.397,961603952954.233,1029043097558.91,1093997267277.1,1211346869600.41,1339395718862.89,1470550015077.93,1660287965663.89,1955347004965.69,2285965892364.2,2752131773358.92,3550342737009.53,4594307032667.98,5101703073088.97,6087163874510.73,7551500124197.17,8532229986993.65,9570406235659.64,10475682920597.7,11061553079871.5,11233276536744.7,12310409370894.2,13894817549380.3,14279937467431.0,14722730697890.1
41,Cote d'Ivoire,CIV,10795850106.9547,10492628915.4927,11152971316.074,11045759468.9412,8313557450.25213,11000146839.497,18071153890.4491,18047557171.794,19619653924.3364,18870992455.706,16577533355.3742,16810536883.7566,18054384023.1198,21251755294.0258,23510577108.1881,24036917016.5323,25281414472.8976,28760092034.5396,34078243426.0168,33886814907.0536,34936305296.8834,36693712824.7812,36302305578.306,42760237561.3995,35363533865.7271,45814637971.4745,47964234560.0514,51588158717.5348,58011466450.8643,58539424929.7248,61348579465.1017
42,Cameroon,CMR,12314482085.0878,11840192674.1246,12071775380.6503,16181813512.4483,8902446188.0456,10864773036.8363,11093539497.029,10789457915.0457,11298144511.6364,11565827385.6884,10566578952.7857,10953485244.4239,12417251815.8801,15970315751.0277,18826215278.057,19509850837.2745,20910513974.6215,23928251333.7444,27715144580.2691,27932971683.4215,27507499709.071,30630912184.7789,30155064574.0734,33728622819.0912,36386546917.6861,32210232911.6626,33814337900.2831,36098550141.5897,39973839064.6084,39670977332.7348,40804449726.0184
43,"Congo, Dem. Rep.",COD,9349764580.36998,9633911368.01541,8227200892.44213,10706246370.9325,5840529411.76471,5647034188.03419,5772020526.10602,6091061291.30501,6215716712.29467,4711259427.27273,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484667.9102,14451902467.9315,16737071816.38,19788515873.8942,18648373312.4241,21565720044.4634,25839749198.8233,29306235826.3885,32679745297.6453,35909040265.9328,37917704900.0794,37134799974.5225,38019265625.8845,47146004586.6824,50400747050.496,48716960860.0664
44,"Congo, Rep.",COG,2798746050.58228,2724853592.73382,2933222714.11506,2684323424.06801,1769365425.04053,2116003977.97529,2540697688.05698,2322718991.26458,1949481296.60762,2353909563.94122,3227927593.04316,2796704577.3082,3034251042.07329,3503723244.83607,4656975222.72243,6647357442.08986,8065134528.26894,8771102025.00987,11602893043.0256,9684321633.21977,13135580695.2473,15634897272.7645,17693924573.2499,17953617927.2376,17889079957.8792,11885478502.1168,10215989995.0073,11090177747.1315,13670036995.9959,12750339022.9512,10187122341.4051
45,Colombia,COL,47844090709.9908,49175565911.0655,58418985443.3172,66446804802.5747,81703500846.0364,92507279383.0387,97160109277.8087,106659508271.255,98443739941.1664,86186158684.7685,99886577330.7271,98211749595.5442,97963003804.7851,94641378693.223,117081522349.677,145619191582.062,161618581266.316,206181826825.281,242186950900.775,232397835678.336,286563105192.457,334943871931.746,370921320483.842,382116126448.555,381112119657.446,293481748240.779,282825009887.458,311883730690.129,334198214706.209,323429888934.257,271437596293.843
46,Comoros,COM,429622147.743446,424108796.562976,457388578.924144,452881443.084162,319189200.353123,398461789.558686,396053797.633321,364445589.702365,370106776.043329,382454989.945311,351136568.441921,378512003.405071,425964697.418664,546885184.990174,633706149.25026,653845122.872074,698431827.740958,795673128.485442,915659192.825112,905341090.570115,907978723.547592,1023086183.79822,1015843368.79008,1116224161.07781,1149587651.69395,966029542.038859,1012835518.26037,1077439662.5798,1188797574.94753,1192559739.37288,1235400352.2931
47,Cabo Verde,CPV,306891107.262039,319827058.592875,357160985.327413,490417389.682569,406580652.330537,487148993.533109,501979069.274683,490608657.924976,521910560.524868,592416703.058878,539227277.626411,563024383.296626,620974660.230303,813963830.179217,924318490.7598,971977088.156914,1107891063.43863,1513933983.22398,1789333748.6799,1711817181.52969,1664310769.55229,1865915544.12445,1741809808.96442,1850470042.43281,1859898513.26858,1596800287.16405,1662998677.88425,1768319144.00218,1966503222.76759,1981845740.70615,1703698676.69742
48,Costa Rica,CRI,5711687786.75989,7196276092.46876,8564044016.95735,9582866263.46284,10486784804.7265,11578594260.0813,11678424507.3634,12614602382.3564,13684255946.6922,14254866281.0572,15013629658.5671,15976174337.0471,16578820687.2209,17271760507.042,18610594846.3082,20040642476.8988,22715540324.3149,26884700345.1044,30801744881.0236,30745712006.5238,37658614803.2919,42762617081.6142,47231651862.8224,50949672205.8222,52016408950.8398,56441917653.0156,58847016044.8244,60516043590.1924,62420165099.7301,64072870931.603,61846895120.7808
49,Caribbean small states,CSS,18011678551.9402,17878504938.8707,17575413724.3223,19033356757.926,20014967686.7882,22072783645.7067,24081792638.7438,28202808369.1372,30129171334.4624,31944649112.5,34218221460.8249,35249133311.4613,36990732762.2225,39545920854.2509,43259612457.535,48918948093.7195,55671360538.3468,61875369659.8849,70340114413.4267,59411440870.4343,64524447018.3122,69668271732.9069,72051115323.7984,73345409463.9086,74470922980.3425,73243299833.0016,69598702057.8724,71693634217.0543,75312833438.1826,76173669481.1443,66039332389.2884
